selection_rank	analysis_id	probe_id	tissue
1	ENSG00000175445::whole_blood	ENSG00000175445	whole_blood
2	ENSG00000134243::whole_blood	ENSG00000134243	whole_blood
3	ENSG00000130203::whole_blood	ENSG00000130203	whole_blood
4	ENSG00000073605::whole_blood	ENSG00000073605	whole_blood
5	ENSG00000164308::whole_blood	ENSG00000164308	whole_blood
6	ENSG00000232810::whole_blood	ENSG00000232810	whole_blood
7	ENSG00000141510::whole_blood	ENSG00000141510	whole_blood
8	ENSG00000136244::whole_blood	ENSG00000136244	whole_blood
9	ENSG00000087237::whole_blood	ENSG00000087237	whole_blood
10	ENSG00000136997::whole_blood	ENSG00000136997	whole_blood
