analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_category	source_reader_capability	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
finngen-r13-BMI_IRN	BMI_IRN	Body mass index, inverse-rank normalized	Body mass index, inverse-rank normalized			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_BMI_IRN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BMI_IRN.gz	Quantitative endpoints	opengwasdb.finngen-r13		ecb3d5b6b401df2f64dfda205b7731b77fdb5458bb8e7cde1ed3e4b5fb621d42	sha256	604052556	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	sd		declared_standardised	sd	total	analysis_level	362216			Quantitative endpoints	all FinnGen R13 inverse-rank-normalised quantitative endpoints		0.0	0.0	0.0180434660934668	0.9819565339065331	0.0	0.0	0.0
finngen-r13-HEIGHT_IRN	HEIGHT_IRN	Height, inverse-rank normalized	Height, inverse-rank normalized			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_HEIGHT_IRN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_HEIGHT_IRN.gz	Quantitative endpoints	opengwasdb.finngen-r13		368039c71651fcfadf9ec7624a20621e70e91e14b14abacb91d5faf93b1ee067	sha256	604397516	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	sd		declared_standardised	sd	total	analysis_level	364515			Quantitative endpoints	all FinnGen R13 inverse-rank-normalised quantitative endpoints		0.0	0.0	0.01802845603868415	0.981971543961316	0.0	0.0	0.0
finngen-r13-WEIGHT_IRN	WEIGHT_IRN	Weight, inverse-rank normalized	Weight, inverse-rank normalized			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_WEIGHT_IRN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_WEIGHT_IRN.gz	Quantitative endpoints	opengwasdb.finngen-r13		4f88bd5c4b1dfecefd4f1c6798a12ae9bebb7b2f2ce8cc95bc47364037bbcd02	sha256	604102129	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	sd		declared_standardised	sd	total	analysis_level	369975			Quantitative endpoints	all FinnGen R13 inverse-rank-normalised quantitative endpoints		0.0	0.0	0.018094100529080497	0.9819058994709194	0.0	0.0	0.0
finngen-r13-RX_PARACETAMOL_NSAID	RX_PARACETAMOL_NSAID	Paracetamol or NSAID medication	Paracetamol or NSAID medication			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_PARACETAMOL_NSAID.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_RX_PARACETAMOL_NSAID.gz	Drug purchase endpoints	opengwasdb.finngen-r13		03d7678e20a1058ef90869e39bcab15dfb0c4977676a14200a0619f14a24640f	sha256	809671677	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	434037	66149	Drug purchase endpoints	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-K11_ORAL	K11_ORAL	Diseases of oral cavity, salivary glands and jaws	Diseases of oral cavity, salivary glands and jaws			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_K11_ORAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_K11_ORAL.gz	XI Diseases of the digestive system (K11_)	opengwasdb.finngen-r13		25c18452e1666a50cd4b6361fd7b7eaacaefd5127d451dfc9f3d802ed376a5c0	sha256	811249053	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	296147	204039	XI Diseases of the digestive system (K11_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-FG_CVD	FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	Cardiovascular diseases (excluding rheumatic etc)			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_FG_CVD.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_FG_CVD.gz	Cardiometabolic endpoints	opengwasdb.finngen-r13		e76c805358d6d373f476327c9e13c974f73a836af144cc23a42d3c80238ba1ec	sha256	810478891	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	258917	241269	Cardiometabolic endpoints	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-PAIN	PAIN	Pain (limb, back, neck, head abdominally)	Pain (limb, back, neck, head abdominally)			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_PAIN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_PAIN.gz	Miscellaneous, not yet classified endpoints	opengwasdb.finngen-r13		299f640cd5b8983cb0e20de89d2b61f48ab525bd04966a2d268d53530e04eab5	sha256	811191160	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	499199	246393	252806	Miscellaneous, not yet classified endpoints	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.018268230817333947	0.9817317691826658	0.0	0.0	0.0
finngen-r13-AB1_INFECT_PARASIT_WIDE	AB1_INFECT_PARASIT_WIDE	Certain infectious and parasitic diseases	Certain infectious and parasitic diseases			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz	I Certain infectious and parasitic diseases (AB1_)	opengwasdb.finngen-r13		cee040747195fcbf58865509f533d1e48b0e5c1f9eb69415d642f23f062552e6	sha256	810405805	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	244545	255641	I Certain infectious and parasitic diseases (AB1_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-RX_STATIN	RX_STATIN	Statin medication	Statin medication			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_STATIN.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_RX_STATIN.gz	IX Diseases of the circulatory system (I9_)	opengwasdb.finngen-r13		9eb5c0aa79029e3b79a6c9b41a7ff02a073553011445bd90c35fbda638a9de52	sha256	811425653	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	203299	296887	IX Diseases of the circulatory system (I9_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-M13_ARTHROPATHIES	M13_ARTHROPATHIES	Arthropathies	Arthropathies			unmapped	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_M13_ARTHROPATHIES.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_M13_ARTHROPATHIES.gz	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	opengwasdb.finngen-r13		924ad6e8f8ddda2dd43f70c7d8f964adcb13ff144c4ffc34de2ab349bec0a184	sha256	810994536	GRCh38	FinnGen public data			FinnGen		Finnish	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	500186	191339	308847	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	largest-case endpoint in its category; category retained among the 17 largest winners		0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
