analysis_id	status	error	source_url	output_file	output_bytes	checksum_algorithm	checksum	download_seconds
GCST003566	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003566/harmonised/GCST003566.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST003566.h.tsv.gz	252658950	sha256	9f524473cb682267a0d5e60f18c91bdf24cf8ada3f8daa76895e606fafc6eee1	8.4
GCST005076	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005076/harmonised/GCST005076.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST005076.h.tsv.gz	408053935	sha256	0eae1cb5fd7b82ed68295be2207f1d76bfd5e7000d5a67818f8ab63a14e6ede8	21.2
GCST006465	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006465/harmonised/GCST006465.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST006465.h.tsv.gz	281224714	sha256	b123aee31a17ef995c61d7b3ad468149510b58e4961915987ee0c310fa95eca5	10.5
GCST007320	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007320/harmonised/GCST007320.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST007320.h.tsv.gz	496518070	sha256	caa77c731f63e0ba3a3899dfa7b2c90d148a381e139a10c9dc95ced36442c018	16.1
GCST007435	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007435/harmonised/GCST007435.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST007435.h.tsv.gz	224139034	sha256	145d7abf99ad9ce0dadee5b6b4426804f0cb990b2b41341701e13780c84f254f	11.4
GCST009324	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009324/harmonised/GCST009324.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009324.h.tsv.gz	739796926	sha256	58e9282b9e44e1bce41e93712e85a543a4f911c8d8a89071ce3f3af9c01bbef5	24.2
GCST009325	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009325/harmonised/GCST009325.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009325.h.tsv.gz	490619051	sha256	cdba56c33e8e17c5088dd06feb79e4ddde8029889a13636103086669e13d4e22	17
GCST009758	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009758/harmonised/GCST009758.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009758.h.tsv.gz	412317681	sha256	f12173aec934302cbaad158ebc653a4737f7643697e65df35d81edc15016f1f3	13.6
GCST009925	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009925/harmonised/GCST009925.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009925.h.tsv.gz	181903862	sha256	922866afa2906231c79033c9c100efca92e5b7ae25228bc900f2d44a943da8d6	7.4
GCST009926	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009926/harmonised/GCST009926.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009926.h.tsv.gz	152504888	sha256	71ff7c7b2e32f95de318603ee07ae0b49fda985ebe7fa437db35a6978f496709	2.2
