analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	sd_estimation_file
0	GCST002047	GCST002047	Educational attainment (college completion)	Educational attainment (college completion)	self reported educational attainment	EFO:0004784	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST002047.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz		GCST002047.h.tsv.gz	c76074e776502e20f373569d33b8780ecefdd27847d5500881be8d24edbf81f6	sha256	42669114	GRCh38	EBI GWAS Catalog terms of use		23722424		Rietveld CA	European	European	source_trusted_no_af	sd	2.42902873181854	estimated_from_source_maf	sd	total	analysis_level	126559			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST002047.sd-sample.tsv.gz
1	GCST003368	GCST003368	circulating leptin levels adjusted for BMI	circulating leptin levels adjusted for BMI	BMI-adjusted leptin measurement	EFO:0007793	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST003368.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003368/harmonised/GCST003368.h.tsv.gz		GCST003368.h.tsv.gz	5f7a22eb8aaf03257ea15606b8d808d7b67c072e10fca40012a339ace32179ec	sha256	50120441	GRCh38	EBI GWAS Catalog terms of use		26833098		Kilpelainen TO	European	European	source_trusted_no_af	sd	0.648611218101015	estimated_from_reference_maf	sd	total	analysis_level	33987			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST003368.sd-sample.tsv.gz
2	GCST003898	GCST003898	Cisplatin-induced ototoxicity	Cisplatin-induced ototoxicity	ototoxicity, response to cisplatin	GO:0072718	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST003898.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003898/harmonised/GCST003898.h.tsv.gz		GCST003898.h.tsv.gz	67df8cb7f271ed5cada0faa623c26e81a512de9361de8f86781f04c07b8fe8dc	sha256	28298128	GRCh38	EBI GWAS Catalog terms of use		28039263		Wheeler HE	European	European	source_trusted_no_af	sd	0.797508182371448	estimated_from_source_maf	sd	total	analysis_level	511			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST003898.sd-sample.tsv.gz
3	GCST004162	GCST004162	Carotid plaque burden	Carotid plaque burden	carotid plaque build	EFO:0006501	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST004162.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004162/harmonised/GCST004162.h.tsv.gz		GCST004162.h.tsv.gz	6c5368cf416d900b8aed6cde66d6cb50ab0baeb3b05039a7b2d7bc334a40c0c5	sha256	401669031	GRCh38	EBI GWAS Catalog terms of use		28282560		Pott J	European	European	source_trusted_no_af	sd	1.10671200576845	estimated_from_source_maf	sd	total	analysis_level	7189			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST004162.sd-sample.tsv.gz
4	GCST004422	GCST004422	Vascular endothelial growth factor levels	Vascular endothelial growth factor levels	vascular endothelial growth factor A level	OBA:2050131	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST004422.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004422/harmonised/GCST004422.h.tsv.gz		GCST004422.h.tsv.gz	bb2004c544aed56d2299bb5313ba57d3d9e30ad3291e2c2eb154007d75afb04f	sha256	174187461	GRCh38	EBI GWAS Catalog terms of use		27989323		Ahola-Olli AV	European	European	source_trusted_no_af	sd	1.02139453617017	estimated_from_reference_maf	sd	total	analysis_level	7118			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST004422.sd-sample.tsv.gz
5	GCST007406	GCST007406	Healthspan	Healthspan	healthspan	EFO:0009762	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST007406.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007406/harmonised/GCST007406.h.tsv.gz		GCST007406.h.tsv.gz	3a46a7a5ad1b09e101fc90221f400b7e97a81a0f450f718cbe9b76b4bf57b623	sha256	310825400	GRCh38	EBI GWAS Catalog terms of use		30729179		Zenin A	European	European	source_trusted_no_af	sd	1.88625588163066	estimated_from_source_maf	sd	total	analysis_level	300447			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST007406.sd-sample.tsv.gz
6	GCST007436	GCST007436	Carotid intima media thickness	Carotid intima media thickness	carotid artery thickness	OBA:2050108	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST007436.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007436/harmonised/GCST007436.h.tsv.gz		GCST007436.h.tsv.gz	1f3e5db733e515783fe57eb3883bda4a60f0943667d13a5502be3bb64d57fc09	sha256	224420246	GRCh38	EBI GWAS Catalog terms of use		30510157		Franceschini N	European	European	source_trusted_no_af	sd	0.143344477565309	estimated_from_source_maf	sd	total	analysis_level	71128			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST007436.sd-sample.tsv.gz
7	GCST008396	GCST008396	Educational attainment (years of education)	Educational attainment (years of education)	self reported educational attainment	EFO:0004784	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST008396.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008396/harmonised/GCST008396.h.tsv.gz		GCST008396.h.tsv.gz	53092a170b5599e98e119b41d99b3b7908c54012597f7a5b0c4612ba04097e7e	sha256	40976700	GRCh38	EBI GWAS Catalog terms of use		23722424		Rietveld CA	European	European	source_trusted_no_af	sd	0.944919967510477	estimated_from_source_maf	sd	total	analysis_level	126559			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST008396.sd-sample.tsv.gz
8	GCST009236	GCST009236	Asthma (time to childhood onset) in early life tobacco smoke exposure	Asthma (time to childhood onset) in early life tobacco smoke exposure	age of onset of childhood onset asthma	OBA:2001015	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST009236.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009236/harmonised/GCST009236.h.tsv.gz		GCST009236.h.tsv.gz	0b2b94571a12b237f1dc4e9f40fdbd5a2567142b84391e85de6b4c22b9aa8b7c	sha256	128427307	GRCh38	EBI GWAS Catalog terms of use		31379025		Sugier PE	European	European	source_trusted_no_af	sd	1.82452381113437	estimated_from_source_maf	sd	total	analysis_level	3187			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST009236.sd-sample.tsv.gz
9	GCST009237	GCST009237	Asthma (childhood onset)	Asthma (childhood onset)	childhood onset asthma	MONDO:0005405	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST009237.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009237/harmonised/GCST009237.h.tsv.gz		GCST009237.h.tsv.gz	b138a9173f4c9930964e4ce25c011fb761ae95db3ded5a0601b560d0f78a63aa	sha256	128414748	GRCh38	EBI GWAS Catalog terms of use		31379025		Sugier PE	European	European	source_trusted_no_af	sd	1.88153895741782	estimated_from_source_maf	sd	total	analysis_level	5086			gwas-catalog-eur-hybrid-quant-pilot10	first_10_quantitative_eur_hybrid_pilot		GCST009237.sd-sample.tsv.gz
