analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST002047	GCST002047	passed	""	source	""	2.42902873181854	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	2.42902873181854	0.108927198649911	median implied SD=2.429, dispersion=0.109, n=2000	opengwasdb:0.1.0
GCST003368	GCST003368	passed	""	reference	ukb-hg38-eur-af	0.648611218101015	estimated_from_reference_maf	2000	1964	323	0	0	12	1629	0.01	0.5	0.648611218101015	0.0243685276278168	median implied SD=0.649, dispersion=0.024, n=1629	opengwasdb:0.1.0
GCST003898	GCST003898	passed	""	source	""	0.797508182371448	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	0.797508182371448	0.014480738623092	median implied SD=0.798, dispersion=0.014, n=2000	opengwasdb:0.1.0
GCST004162	GCST004162	passed	""	source	""	1.10671200576845	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	1.10671200576845	0.0167085593134437	median implied SD=1.107, dispersion=0.017, n=2000	opengwasdb:0.1.0
GCST004422	GCST004422	passed	""	reference	ukb-hg38-eur-af	1.02139453617017	estimated_from_reference_maf	2000	1705	250	71	0	73	1311	0.01	0.5	1.02139453617017	0.071870914250784	median implied SD=1.021, dispersion=0.072, n=1311	opengwasdb:0.1.0
GCST007406	GCST007406	passed	""	source	""	1.88625588163066	estimated_from_source_maf	2000	1996	0	0	4	634	1362	0.01	0.5	1.88625588163066	0.00864296495570882	median implied SD=1.886, dispersion=0.009, n=1362	opengwasdb:0.1.0
GCST007436	GCST007436	passed	""	source	""	0.143344477565309	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	0.143344477565308	0.0103993620821115	median implied SD=0.143, dispersion=0.010, n=2000	opengwasdb:0.1.0
GCST008396	GCST008396	passed	""	source	""	0.944919967510477	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	0.944919967510477	0.0610954454927241	median implied SD=0.945, dispersion=0.061, n=2000	opengwasdb:0.1.0
GCST009236	GCST009236	passed	""	source	""	1.82452381113437	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	1.82452381113437	0.0393188763878038	median implied SD=1.825, dispersion=0.039, n=2000	opengwasdb:0.1.0
GCST009237	GCST009237	passed	""	source	""	1.88153895741782	estimated_from_source_maf	2000	2000	0	0	0	0	2000	0.01	0.5	1.88153895741782	0.0333653642572489	median implied SD=1.882, dispersion=0.033, n=2000	opengwasdb:0.1.0
