analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90199621	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/harmonised/GCST90199621.h.tsv.gz	404189760	15047375	77822	0.005172	0	5	69696	107	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199621_GCST90199621.filtered.tsv.gz	1976518	sha256	f9d7ca2a71131cb3d50b6b0c30ff99816c43ef66bb0b7ce6b419d0bdc951398a	14	41.1	55.1
GCST90199622	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/harmonised/GCST90199622.h.tsv.gz	401836690	15015424	39678	0.002642	0	3	31428	205	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199622_GCST90199622.filtered.tsv.gz	1021894	sha256	89249bcafc37756d330e1eae3ae1a2929cca77860a360c011c4be00780f035af	21.4	40.5	61.9
GCST90199623	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/harmonised/GCST90199623.h.tsv.gz	396102676	15068638	18098	0.001201	0	1	9965	81	8058	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199623_GCST90199623.filtered.tsv.gz	483934	sha256	9911230b5c6824aba4c0e7083ad35babfa1425190d3099d850f4bf598d5fb3ca	15.2	41	56.1
GCST90199624	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/harmonised/GCST90199624.h.tsv.gz	404262668	15049138	8128	0.00054	0	0	0	67	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199624_GCST90199624.filtered.tsv.gz	232441	sha256	95031f90cb4973729c98dea6e623ed6549757ef1f1e4a5a2055e064024a22e92	13	38.3	51.3
GCST90199625	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/harmonised/GCST90199625.h.tsv.gz	404330887	15049890	8157	0.000542	0	0	0	96	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199625_GCST90199625.filtered.tsv.gz	233506	sha256	17949c4b9442224a49234b3b24c093da1bff0b5d392e6ff3751846465da4d134	24.6	41.4	65.9
GCST90199626	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/harmonised/GCST90199626.h.tsv.gz	403634495	15039862	58506	0.00389	0	4	50408	67	8060	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199626_GCST90199626.filtered.tsv.gz	1490977	sha256	5eefdf98ff15582ce4363a63867ae44969a37b3c419c47cfe21badd9f7433a8a	16.7	41.2	57.9
GCST90199627	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/harmonised/GCST90199627.h.tsv.gz	395729160	14913501	18400	0.001234	0	1	10273	70	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199627_GCST90199627.filtered.tsv.gz	494617	sha256	6f89a73d8b2f84cbe5e06c0f00364e186ad2c557912089a54eb56e4f31bb2c82	15.7	40.1	55.8
GCST90199628	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/harmonised/GCST90199628.h.tsv.gz	404414971	15050803	8142	0.000541	0	0	0	81	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199628_GCST90199628.filtered.tsv.gz	232977	sha256	7269da413a960e2de1617868c2a9ab366208b33771ea050ad7d4339a721331b0	14.1	41.2	55.3
GCST90199629	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/harmonised/GCST90199629.h.tsv.gz	404190915	15049551	19191	0.001275	0	1	11050	83	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199629_GCST90199629.filtered.tsv.gz	512588	sha256	de5ffd064809833364e89175c053c4918613a4fecbf619df4533f6a66cfae5d5	18.1	42.3	60.4
GCST90199630	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/harmonised/GCST90199630.h.tsv.gz	401069132	15000791	17548	0.00117	0	1	9417	76	8061	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199630_GCST90199630.filtered.tsv.gz	473411	sha256	f8401074c4daeb9527dd1ccd05cf469cfa57c5877a66f5210b2eaf42954f322e	26.6	41	67.6
