analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	trait_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	gene_id	gene_name	trait_chr	trait_bp	n	tissue	context	mhc	target_resolution_method	n_target_rows
0	GCST005806	GCST005806	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial levels (PDK1.5227.60.3)	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial levels (PDK1.5227.60.3)	obsolete_[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1; mitochondrial measurement	EFO:0021984	source_provided	http://www.ebi.ac.uk/efo/EFO_0021984	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/PDK1_GCST005806.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005806/harmonised/GCST005806.h.tsv.gz		PDK1_GCST005806.filtered.tsv.gz	0087f5d4d146f37089cda7c6e5e7b3c16e96057d5a724836c6a123a3a50861bd	sha256	249117	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000152256	PDK1	2	172555373	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
1	GCST90240120	GCST90240120	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial levels (PDK2.12651.21.3)	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial levels (PDK2.12651.21.3)	[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial measurement	EFO:0802230	source_provided	http://www.ebi.ac.uk/efo/EFO_0802230	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/PDK2_GCST90240120.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240120/harmonised/GCST90240120.h.tsv.gz		PDK2_GCST90240120.filtered.tsv.gz	da4423e1bda0e378ba63a483b88bd492a1e80b70c92457b19c4e6295ff7be426	sha256	106897	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000005882	PDK2	17	50094737	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
2	GCST90240121	GCST90240121	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 levels (PLCG1.4563.61.2)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 levels (PLCG1.4563.61.2)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 measurement	EFO:0020108	source_provided	http://www.ebi.ac.uk/efo/EFO_0020108	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/PLCG1_GCST90240121.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240121/harmonised/GCST90240121.h.tsv.gz		PLCG1_GCST90240121.filtered.tsv.gz	8ac59ccc0b807ed94a62269dff8e81cddc025bc5ae84bcd9666bc09e1c9d698e	sha256	289215	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000124181	PLCG1	20	41136931	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
3	GCST90240122	GCST90240122	14-3-3 protein epsilon levels (YWHAE.14157.21.3)	14-3-3 protein epsilon levels (YWHAE.14157.21.3)	14-3-3 protein epsilon measurement	EFO:0021958	source_provided	http://www.ebi.ac.uk/efo/EFO_0021958	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/YWHAE_GCST90240122.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240122/harmonised/GCST90240122.h.tsv.gz		YWHAE_GCST90240122.filtered.tsv.gz	99673eb1f5a50f76567743dfba97e8e6960c4f28bd25f6ff9e0e0221027b34cb	sha256	157367	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000108953	YWHAE	17	1344275	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
4	GCST90240123	GCST90240123	14-3-3 protein family levels (YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2)	14-3-3 protein family levels (YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2)	14-3-3 protein family measurement	EFO:0020109	source_provided	http://www.ebi.ac.uk/efo/EFO_0020109	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/YWHAH_GCST90240123.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240123/harmonised/GCST90240123.h.tsv.gz		YWHAH_GCST90240123.filtered.tsv.gz	0e5164095ced35b4136b016ccbd3361fbfbf48d22c110d8a91180ea2eba1476c	sha256	310735	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000128245	YWHAH	22	31944465	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
5	GCST90240124	GCST90240124	14-3-3 protein sigma levels (SFN.4829.43.6)	14-3-3 protein sigma levels (SFN.4829.43.6)	14-3-3 protein sigma measurement	EFO:0020110	source_provided	http://www.ebi.ac.uk/efo/EFO_0020110	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/SFN_GCST90240124.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240124/harmonised/GCST90240124.h.tsv.gz		SFN_GCST90240124.filtered.tsv.gz	708f1a1f4a77f3d1ce4794be2072eeaae184c7e908bde4964a0d620f8ed2cf53	sha256	386513	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000175793	SFN	1	26863149	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
6	GCST90240125	GCST90240125	14-3-3 protein theta levels (YWHAQ.7625.27.3)	14-3-3 protein theta levels (YWHAQ.7625.27.3)	14-3-3 protein theta measurement	EFO:0022011	source_provided	http://www.ebi.ac.uk/efo/EFO_0022011	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/YWHAQ_GCST90240125.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240125/harmonised/GCST90240125.h.tsv.gz		YWHAQ_GCST90240125.filtered.tsv.gz	513c9dcb14b1270ab7f78a1161f9dc4b9118cb6944b67181d5e6bd68c88557b2	sha256	132397	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000134308	YWHAQ	2	9583334	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
7	GCST90240126	GCST90240126	14-3-3 protein zeta/delta levels (YWHAZ.5858.6.5)	14-3-3 protein zeta/delta levels (YWHAZ.5858.6.5)	14-3-3 protein zeta/delta measurement	EFO:0021996	source_provided	http://www.ebi.ac.uk/efo/EFO_0021996	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/YWHAZ_GCST90240126.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240126/harmonised/GCST90240126.h.tsv.gz		YWHAZ_GCST90240126.filtered.tsv.gz	6f2c7c1f71d7c1f0e262e1421731343a131088cc8bba1b81ebfc6652ff0219a1	sha256	388667	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000164924	YWHAZ	8	100914526	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
8	GCST90240127	GCST90240127	15-hydroxyprostaglandin dehydrogenase [NAD(+)] levels (HPGD.4995.16.1)	15-hydroxyprostaglandin dehydrogenase [NAD(+)] levels (HPGD.4995.16.1)	15-hydroxyprostaglandin dehydrogenase [NAD(+)] measurement	EFO:0020111	source_provided	http://www.ebi.ac.uk/efo/EFO_0020111	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/HPGD_GCST90240127.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240127/harmonised/GCST90240127.h.tsv.gz		HPGD_GCST90240127.filtered.tsv.gz	1df4a34b4f543c3b5a50175c4ab5aa93ed4b5966308f01d26249e89eae00d197	sha256	480675	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000164120	HPGD	4	174453668	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
9	GCST90240128	GCST90240128	17-beta-hydroxysteroid dehydrogenase 14 levels (HSD17B14.13972.4.3)	17-beta-hydroxysteroid dehydrogenase 14 levels (HSD17B14.13972.4.3)	17-beta-hydroxysteroid dehydrogenase 14 measurement	EFO:0802231	source_provided	http://www.ebi.ac.uk/efo/EFO_0802231	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-10/filtered/HSD17B14_GCST90240128.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240128/harmonised/GCST90240128.h.tsv.gz		HSD17B14_GCST90240128.filtered.tsv.gz	5df750aae44663a3c096e8e03f202f9c1e64dca605f677ded6bc2736d4c23ba1	sha256	771775	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	Sun BB	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_10_sun_2018_interval_pqtl_pilot		ENSG00000087076	HSD17B14	19	48813014	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
