analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
ukb-b-10001	ukb-b-10001		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	14677	EUR	0.9945113093313975	0.9908025622756023	0.004614007895484811	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.001779943612807057	0.0	0.9945113093313975	0.0	0.0	0.0037087470557952557
ukb-b-10002	ukb-b-10002		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	12184	EUR	0.9920024001048457	0.9863072864150848	0.005149973328305022	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0006651606806561662	0.0	0.9920024001048457	0.0	0.0016373255247369009	0.005695113689760993
ukb-b-10003	ukb-b-10003		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	11552	EUR	0.9940168472713891	0.990651427017016	0.004936219117447994	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0019531516266573907	0.0	0.9940168472713891	0.0	0.0006645808475805739	0.0033654202543730548
ukb-b-10008	ukb-b-10008		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	16211	EUR	0.9947261415737766	0.9911943627390707	0.004440587999875102	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0017420795915175293	0.0	0.9947261415737766	0.0	0.0	0.003531778834705956
ukb-b-10011	ukb-b-10011		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17553	EUR	0.9950384876199789	0.9914243093901726	0.0042827247864093	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0013473341502148078	0.0	0.9950384876199789	0.0	0.0	0.0036141782298063437
ukb-b-1004	ukb-b-1004		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17356	EUR	0.9950991425455697	0.9916428857497729	0.0043651546394771696	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.001444600658633636	0.0	0.9950991425455697	0.0	0.0	0.0034562567957968377
ukb-b-10054	ukb-b-10054		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17078	EUR	0.9950696773558056	0.9915953631355786	0.0043989206089386	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0014560084239673545	0.0	0.9950696773558056	0.0	0.0	0.003474314220227016
ukb-b-10787	ukb-b-10787		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17553	EUR	0.9950391670752665	0.9914214142983816	0.0042812228541572175	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0013430801478485025	0.0	0.9950391670752665	0.0	0.0	0.003617752776884931
ukb-b-11842	ukb-b-11842		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17553	EUR	0.9950377446924268	0.9914247134247934	0.004279988652044733	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.0013492240399398075	0.0	0.9950377446924268	0.0	0.0	0.0036130312676333582
ukb-b-19953	ukb-b-19953		EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	17553	EUR	0.9950405631973311	0.9914320583633308	0.004280367338615138	ok		one-pass GWAS-VCF AF/SE extraction	0.0	0.001350931968668535	0.0	0.9950405631973311	0.0	0.0	0.0036085048340003057
