analysis_id	source_file	derived_fields	assigned_ancestry	ancestry_assignment_method	ancestry_status	effect_scale_status	phenotype_sd	sd_method	resolution_status	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS	notes
finngen-r13-BMI_IRN	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_BMI_IRN.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	passed		declared_standardised	derived	0	0.00611209	0.00766051	0.986227	0	0	0	median implied SD=0.930, dispersion=0.002, n=9720542
finngen-r13-HEIGHT_IRN	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_HEIGHT_IRN.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	failed		declared_standardised	derived	0	0.00611559	0.00766126	0.986223	0	0	0	scale_inconsistent (median implied SD=0.663, dispersion=0.002, n=9720452)
finngen-r13-WEIGHT_IRN	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_WEIGHT_IRN.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	passed		declared_standardised	derived	0	0.00610792	0.00766746	0.986225	0	0	0	median implied SD=0.876, dispersion=0.002, n=9720231
finngen-r13-RX_PARACETAMOL_NSAID	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_PARACETAMOL_NSAID.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-K11_ORAL	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_K11_ORAL.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-FG_CVD	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_FG_CVD.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-PAIN	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_PAIN.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.00611101	0.00770058	0.986188	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-AB1_INFECT_PARASIT_WIDE	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-RX_STATIN	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_STATIN.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
finngen-r13-M13_ARTHROPATHIES	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_M13_ARTHROPATHIES.gz	assigned_ancestry,ancestry_assignment_method,ancestry_prop_AFR,ancestry_prop_AMR,ancestry_prop_EAS,ancestry_prop_EUR,ancestry_prop_MID,ancestry_prop_NAF,ancestry_prop_SAS	EUR	af_assigned	af_assigned	skipped		binary_trait	derived	0	0.0061107	0.00769917	0.98619	0	0	0	binary/log-hazard analyses have no phenotype SD to estimate
