analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-10001	ukb-b-10001	Operative procedures - secondary OPCS: Z84.6 Knee joint	Operative procedures - secondary OPCS: Z84.6 Knee joint			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10001.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	6661	456349		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10002	ukb-b-10002	Manic/hyper symptoms: All of the above	Manic/hyper symptoms: All of the above			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10002.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	31317	3177	28140		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10003	ukb-b-10003	Treatment/medication code: becotide 50 inhaler	Treatment/medication code: becotide 50 inhaler			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10003.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2810	460123		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10008	ukb-b-10008	Treatment/medication code: atorvastatin	Treatment/medication code: atorvastatin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10008.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	13851	449082		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10011	ukb-b-10011	Townsend deprivation index at recruitment	Townsend deprivation index at recruitment			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10011.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	462464				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1004	ukb-b-1004	Added milk to espresso	Added milk to espresso			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1004.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10054	ukb-b-10054	Cheese consumers	Cheese consumers			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10054.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	29408	35541		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10056	ukb-b-10056	PCT responsible for patient data: NORTH TYNESIDE PCT	PCT responsible for patient data: NORTH TYNESIDE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10056.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	3701	459309		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10061	ukb-b-10061	Diagnoses - secondary ICD10: Z50.1 Other physical therapy	Diagnoses - secondary ICD10: Z50.1 Other physical therapy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10061.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1824	461186		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10066	ukb-b-10066	Eye problems/disorders: Other serious eye condition	Eye problems/disorders: Other serious eye condition			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10066.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	150642	8438	142204		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
