analysis_id	publication_pmid	trait	study_design	sample_size	readiness_status	data_url	yaml_url	data_file	yaml_file	data_bytes	yaml_bytes	sha256	error
GCST000028	17463246	Type 2 diabetes	case-control	2931	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz-meta.yaml	35279386	811	fd59856729eb312cb047ea5ef9c79ae9799a791159e6b95576bd3afc8843dfc1	
GCST000392	19430480	Type 1 diabetes	case-control	16559	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz-meta.yaml	15269443	812	b82d260ad48db8e4c67ab10e51d623ff8d6b6c9432946a5674e4f5b8b73a6a6b	
GCST000553	20045101	CD4:CD8 lymphocyte ratio	quantitative	2538	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz-meta.yaml	29852313	789	b2e04186f6a430d00246c0c17b2aa16c212a5b4cfe0410a0a22a6c709a8e142a	
GCST000568	20081858	Fasting blood glucose	quantitative	46186	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz-meta.yaml	83236986	787	a52187e486e7a40fc2b75a29a30a787e6c5593a50390e481ddbe7978bf049594	
GCST000571	20081858	Fasting blood insulin	quantitative	38238	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz-meta.yaml	81244492	787	0d658e78f9cd6a56ffd910c8946e681afb6dd400cca59702b01950d586086c99	
GCST000612	20190752	Celiac disease	case-control	15283	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz-meta.yaml	40403376	809	d6f6a3656b6f0d86045f5115f31b1020ddcf05dec34545d1034b9c4c4929441c	
GCST000679	20453842	Rheumatoid arthritis	case-control	25708	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz-meta.yaml	154840082	815	7a37ee21cf73c9ed1fbf474041879a2e7cf15230eddffa840bfb45707acdbf32	
GCST000755	20686565	HDL cholesterol	quantitative	99900	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz-meta.yaml	78882663	781	84ce5bc37a7d8b887a6938633b7a233b653b845bf7b5d9c3accb88983660c9a7	
GCST000758	20686565	Triglycerides	quantitative	96598	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz-meta.yaml	78835888	779	d71b8af7959233bdbe2e7f9f3788e6f89b201e2e6c7ac2f7e1d06dce4693a40f	
GCST000759	20686565	LDL cholesterol	quantitative	95454	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz-meta.yaml	79077365	781	61f18d2d1a92be31d15f568d4e95c3e50799935ada76a8fdec5280ecc217c3dc	
GCST000760	20686565	Cholesterol, total	quantitative	100184	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz-meta.yaml	79033928	785	125fc26db84baec906f4b0d7594de867b775e408687177f7cdae34b243bd2a9c	
GCST000803	20858683	Glycated hemoglobin levels	quantitative	46368	missing_remote_harmonised_yaml								
GCST000817	20881960	Height	quantitative	133653	missing_remote_harmonised_yaml								
GCST000879	21102463	Crohn's disease	case-control	21389	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz-meta.yaml	10612815	810	4f53783920e47070b884b482624e2ceec6b6d0da3329c6f8e9d27ee52ec6f0bc	
GCST000922	21173776	Openness	quantitative	17375	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz-meta.yaml	79426996	774	3b1a74efb100986a7ee578144aec983db67581bff8984e968a2cbb4e432cf981	
GCST000988	21355061	Urinary albumin excretion	quantitative	31580	missing_remote_harmonised_yaml								
GCST000998	21378990	Coronary heart disease	case-control	86995	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz-meta.yaml	142090861	817	ca7909143fe82e07ad359b91ff6845abec64b8a1e3426e8d0ad86d731e0354ce	
GCST001177	21829377	Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)	quantitative	8866	missing_remote_harmonised_yaml								
GCST001178	21829377	Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	quantitative	8866	missing_remote_harmonised_yaml								
GCST001179	21829377	Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	quantitative	8866	missing_remote_harmonised_yaml								
GCST001180	21829377	Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)	quantitative	8866	missing_remote_harmonised_yaml								
GCST001198	21833088	Multiple sclerosis	case-control	26621	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz-meta.yaml	36976314	815	70adcfb32574a2f31f8558c34344ec6f3ba73b8134b4e1d2543701f775695344	
GCST001212	21873549	Proinsulin levels	quantitative	10701	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz-meta.yaml	84024850	783	06d40d130fd579a77511a792635586e06200dcf6d7e3a6dbaef2297ceaba3920	
GCST001255	21980299	Type 1 diabetes	case-control	26890	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz-meta.yaml	23993608	812	361d3a7c474f6740b0b1ba0832526a7554692017b171689b78e18d2caab6bfbc	
GCST001465	22479202	Adiponectin levels	quantitative	29347	missing_remote_harmonised_yaml								
GCST001468	22466613	Cystic fibrosis (meconium ileus)	case-control	3763	missing_remote_harmonised_yaml								
GCST001475	22484627	Obesity	case-control	13848	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz-meta.yaml	71651673	802	ba53554450a35f022e308e13710f35d12af5c9d4fb106fb2987befc91ae5d60c	
GCST001509	22561518	Vitiligo	case-control	3228	missing_remote_harmonised_yaml								
GCST001526	22581228	Fasting blood insulin (BMI interaction)	quantitative	51750	missing_remote_harmonised_yaml								
GCST001527	22581228	Fasting blood glucose (BMI interaction)	quantitative	58074	missing_remote_harmonised_yaml								
GCST001592	22763110	Osteoarthritis	case-control	18419	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz-meta.yaml	37352666	811	4aef6899c42f15b3c725a64dae2d5979652162d33d5a9764e0ffa0ae8dafaa2f	
GCST001676	22982992	Body mass index	quantitative	133154	missing_remote_harmonised_yaml								
GCST001790	23263486	Gout	case-control	69374	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz-meta.yaml	91823789	799	b082088be09b88ae6aecce071f40d8cbf6523a16d54f458609451d1daa36b4b3	
GCST001791	23263486	Urate levels	quantitative	110347	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz-meta.yaml	88946429	779	156772b7e9d8166f30f986250ffa0d6cda69820f73e2ee072676fc9ad6d1afa7	
GCST001834	23362303	Oleic acid (18:1n-9) levels	quantitative	8961	missing_remote_harmonised_yaml								
GCST001837	23358156	Intelligence (childhood)	quantitative	12441	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz-meta.yaml	44195007	790	88cc7e605e681aef44afa57b823167cd27c65901a2cf32e046d00a91a1cd3f65	
GCST001838	23362303	Palmitic acid (16:0) levels	quantitative	8961	missing_remote_harmonised_yaml								
GCST001840	23362303	Stearic acid (18:0) levels	quantitative	8961	missing_remote_harmonised_yaml								
GCST001841	23362303	Palmitoleic acid (16:1n-7) levels	quantitative	8961	missing_remote_harmonised_yaml								
GCST001850	23377640	Major depressive disorder	case-control	2256	missing_remote_harmonised_yaml								
GCST001969	23583979	Heart rate	quantitative	92355	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz-meta.yaml	107421411	848	3029bf97f03458efca1a08c93e1cc5e2616c5b62e476a44cb1d691ba67a3b7d9	
GCST002047	23722424	Educational attainment (college completion)	quantitative	126559	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz-meta.yaml	42669114	798	c76074e776502e20f373569d33b8780ecefdd27847d5500881be8d24edbf81f6	
GCST002216	24097068	Triglycerides	quantitative	94595	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz-meta.yaml	80689144	779	08e44ed1baec6bddc881063e72e0b011d6ac150263cc519fdd6d0ead9f10502d	
GCST002221	24097068	Cholesterol, total	quantitative	94595	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz-meta.yaml	81076326	784	5fad88c5f2d43bb982b9cacc5d70bbe8f6b88af7918c31b9f368bb7b5d1578f5	
