analysis_id	publication_pmid	trait	study_design	sample_size	readiness_status	data_url	yaml_url	data_file	yaml_file	data_bytes	yaml_bytes	sha256	error	stratum
GCST000553	20045101	CD4:CD8 lymphocyte ratio	quantitative	2538	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz-meta.yaml	29852313	789	b2e04186f6a430d00246c0c17b2aa16c212a5b4cfe0410a0a22a6c709a8e142a		explicit_edge_case
GCST003966	27918534	Visceral adipose tissue	quantitative	18332	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003966/harmonised/27918534-GCST003966-EFO_0004765.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003966/harmonised/27918534-GCST003966-EFO_0004765.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST003001-GCST004000/GCST003966/harmonised/27918534-GCST003966-EFO_0004765.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST003001-GCST004000/GCST003966/harmonised/27918534-GCST003966-EFO_0004765.h.tsv.gz-meta.yaml	73609381	884	b5229fcd09541794e23ace59fc8811ee655ab80282634365d82ca443871e893b		quant_decile_1
GCST003967	27918534	Visceral adipose tissue adjusted for BMI	quantitative	18332	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003967/harmonised/27918534-GCST003967-EFO_0004765.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003967/harmonised/27918534-GCST003967-EFO_0004765.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST003001-GCST004000/GCST003967/harmonised/27918534-GCST003967-EFO_0004765.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST003001-GCST004000/GCST003967/harmonised/27918534-GCST003967-EFO_0004765.h.tsv.gz-meta.yaml	73946551	917	52a5473c60a2f463b96db5ad692f20bf0e2d8795843d10471346fe06120e3470		quant_decile_2
GCST004293	28452372	Glomerular filtration rate (cystatin C)	quantitative	24063	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004293/harmonised/28452372-GCST004293-EFO_0004617.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004293/harmonised/28452372-GCST004293-EFO_0004617.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004293/harmonised/28452372-GCST004293-EFO_0004617.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004293/harmonised/28452372-GCST004293-EFO_0004617.h.tsv.gz-meta.yaml	221110	821	063e0cb96a927be7c65aac4b223a2b92ce9a47fffcd2240a017a8d6b57ace834		quant_decile_1
GCST004441	27989323	Interleukin-18 levels	quantitative	3636	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004441/harmonised/27989323-GCST004441-EFO_0004581.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004441/harmonised/27989323-GCST004441-EFO_0004581.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004441/harmonised/27989323-GCST004441-EFO_0004581.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004441/harmonised/27989323-GCST004441-EFO_0004581.h.tsv.gz-meta.yaml	276691231	786	48e18ef20635cfee9244557e45b1749a92325884bbb4cb3fdea4fa78d728821e		quant_decile_5
GCST004605	27863252	Mean corpuscular hemoglobin concentration	quantitative	172851	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004605/harmonised/27863252-GCST004605-EFO_0004528.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004605/harmonised/27863252-GCST004605-EFO_0004528.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004605/harmonised/27863252-GCST004605-EFO_0004528.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST004001-GCST005000/GCST004605/harmonised/27863252-GCST004605-EFO_0004528.h.tsv.gz-meta.yaml	1527598313	808	17766218ec09fab27e078d49c032ed179339ebd1467dfd66082a545e26a17f95		quant_decile_10
GCST005522	23459209	Narcolepsy	case-control	12307	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005522/harmonised/23459209-GCST005522-EFO_0000614.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005522/harmonised/23459209-GCST005522-EFO_0000614.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST005001-GCST006000/GCST005522/harmonised/23459209-GCST005522-EFO_0000614.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST005001-GCST006000/GCST005522/harmonised/23459209-GCST005522-EFO_0000614.h.tsv.gz-meta.yaml	7951562	804	8b0403faefe046ff94042ed353b4960a9f336bb4b4fd7ae61dd63688d884acd8		case_control_decile_1
GCST006339	30053915	Anti-influenza A virus IgG seropositivity	case-control	1000	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006339/harmonised/30053915-GCST006339-EFO_0007038.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006339/harmonised/30053915-GCST006339-EFO_0007038.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006339/harmonised/30053915-GCST006339-EFO_0007038.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006339/harmonised/30053915-GCST006339-EFO_0007038.h.tsv.gz-meta.yaml	206427412	835	86e56f2cf6dda1fe7adad79c52d450d40c7a8c662b1286553d48309f127ae6ff		case_control_decile_3
GCST006354	30053915	Anti-hepatitis B virus surface antigen (HBs) IgG levels	quantitative	508	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006354/harmonised/30053915-GCST006354-EFO_0009358.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006354/harmonised/30053915-GCST006354-EFO_0009358.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006354/harmonised/30053915-GCST006354-EFO_0009358.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006354/harmonised/30053915-GCST006354-EFO_0009358.h.tsv.gz-meta.yaml	191929893	819	dc1e8b0d419b37349ed357e81e90565d350005935c6992de18c8831af2332701		quant_decile_3
GCST006464	30093612	Endometrial cancer	case-control	121885	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006464/harmonised/30093612-GCST006464-EFO_1001512.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006464/harmonised/30093612-GCST006464-EFO_1001512.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006464/harmonised/30093612-GCST006464-EFO_1001512.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST006001-GCST007000/GCST006464/harmonised/30093612-GCST006464-EFO_1001512.h.tsv.gz-meta.yaml	420167356	784	dd7a0c5483b334ba12dca3e310ceadba56b63ab83821a48a38a26b0d0d044d1d		case_control_decile_6
GCST009980	31969693	Major depressive disorder in trauma exposed individuals	case-control	24094	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009980/harmonised/31969693-GCST009980-EFO_0010703.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009980/harmonised/31969693-GCST009980-EFO_0010703.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST009001-GCST010000/GCST009980/harmonised/31969693-GCST009980-EFO_0010703.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST009001-GCST010000/GCST009980/harmonised/31969693-GCST009980-EFO_0010703.h.tsv.gz-meta.yaml	546578868	1553	5dba0d2ee1f818c048a3ecae819467206b3c467d2833d47634626b5a8e06ed87		case_control_decile_8
