store_id	label	layout	completion_state	status	derived_from	store_uri	created_at	opengwasdb_rev	generator_command	build_command	format_version	n_analyses	n_variants	n_associations	store_bytes	build_elapsed_s	validate_status	first_author	publication_pmid	tissue	context	assigned_ancestry	sample_size	source_url
OGS-00001	pilot-10	ragged	observed_only	built		/data/opengwasdb/stores/OGS-00001/store.opengwasdb	2026-08-18T15:44:32.579882+00:00	a9e8bc825af692cdb5bb7cba39d56d11654fcebe	python3 resources/generators/lib/source-formats/eqtlgen-besd-ragged/generate.py --config=resources/generators/eqtlgen-cis-pilot/config-pilot-10.yaml	opengwasdb build-ragged-besd /data/opengwasdb/raw/eqtlgen/pilot-10 /data/opengwasdb/stores/OGS-00001/store.opengwasdb --store-id OGS-00001 --release-id OGS-00001 --analyses /data/opengwasdb/stores/OGS-00001/work/analyses.tsv --source-build hg19 --tissue whole_blood	1.0	10	86376	86373		4.677	passed	NA	NA	whole_blood	NA	NA	NA	NA
OGS-00002	pilot-10-completed	ragged	reference_completed	validated	OGS-00001	/data/opengwasdb/stores/OGS-00002/store.opengwasdb	2026-08-18T16:48:16Z	a9e8bc825af692cdb5bb7cba39d56d11654fcebe	opengwasdb complete-ragged /data/opengwasdb/eqtlgen-cis-pilot/releases/pilot-10/store/ragged__eqtlgen-cis-pilot__pilot-10 /data/opengwasdb/eqtlgen-cis-pilot/releases/pilot-10/store/ragged__eqtlgen-cis-pilot__pilot-10-completed --ld-panel /data/opengwasdb/reference/hgdp1kgp-hg38/panel --ancestry EUR --n-workers 32	opengwasdb complete-ragged /data/opengwasdb/stores/OGS-00001/store.opengwasdb /data/opengwasdb/stores/OGS-00002/store.opengwasdb --release-id OGS-00002 --ld-panel /data/opengwasdb/reference/hgdp1kgp-hg38/panel --ancestry EUR	1.0	10	207764	207761		74.38	passed	NA	NA	whole_blood	NA	NA	NA	NA
OGS-00003	r13-pilot-20	dense	observed_only	built		/data/opengwasdb/stores/OGS-00003/store.opengwasdb	2026-08-18T08:51:59Z	987aec1baca9e218e062d468c948b410264a9341	Rscript resources/generators/lib/source-formats/finngen-r13-dense/generate.R --config=resources/generators/finngen-r13/config-pilot-20.yaml --mode=emit	opengwasdb build-dense-vcf /data/opengwasdb/stores/OGS-00003/work/analyses.tsv /data/opengwasdb/stores/OGS-00003/store.opengwasdb --store-id OGS-00003 --release-id OGS-00003 --source-reader-capability opengwasdb.finngen-r13 --source-assembly hg38 --n-workers 10	1.0	10	21230615	212306150		1730.458	passed	NA	NA	NA	NA	EUR	362216-500186	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/
OGS-00004	eur-hybrid-pilot-10	hybrid	observed_only	built		/data/opengwasdb/stores/OGS-00004/store.opengwasdb	2026-08-17T19:38:49Z	6ef919e721d5b7368acad591264be50f79b77dfb	Rscript resources/generators/lib/source-formats/gwas-ssf-hybrid/generate.R --config=resources/generators/gwas-catalog-eur-hybrid/config-pilot-10.yaml --mode=emit	opengwasdb build-hybrid /data/opengwasdb/stores/OGS-00004/work/analyses.tsv /data/opengwasdb/stores/OGS-00004/store.opengwasdb --store-id OGS-00004 --release-id OGS-00004 --variant-reference /data/opengwasdb/reference/alid-panel/EUR-variants.tsv.gz --source-reader-capability opengwasdb.gwas-ssf --source-assembly hg38		10					passed_with_warnings	mixed (8)	mixed (8)	NA	NA	EUR	6753-482730	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/
OGS-00005	eur-hybrid-quant-pilot-10	hybrid	observed_only	built		/data/opengwasdb/stores/OGS-00005/store.opengwasdb	2026-08-18T00:50:57Z	6ef919e721d5b7368acad591264be50f79b77dfb	Rscript resources/generators/lib/source-formats/gwas-ssf-hybrid/generate.R --config=resources/generators/gwas-catalog-eur-hybrid/config-quant-pilot-10.yaml --mode=emit	opengwasdb build-hybrid /data/opengwasdb/stores/OGS-00005/work/analyses.tsv /data/opengwasdb/stores/OGS-00005/store.opengwasdb --store-id OGS-00005 --release-id OGS-00005 --variant-reference /data/opengwasdb/wip/hybrid-ieua/panel_alids.txt --source-reader-capability opengwasdb.gwas-ssf --source-assembly hg38		10					passed_with_warnings	mixed (8)	mixed (8)	NA	NA	EUR	511-300447	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/
OGS-00006	2023-chen-full-european	ragged	observed_only	built		/data/opengwasdb/stores/OGS-00006/store.opengwasdb	2026-08-04T11:00:49Z	6ef919e721d5b7368acad591264be50f79b77dfb	Rscript resources/generators/lib/source-formats/gwas-ssf-ragged/generate.R --config=resources/generators/metabolome-plasma-2023/config-european.yaml --mode=emit	opengwasdb build-ragged-ssf /data/opengwasdb/stores/OGS-00006/work/analyses.tsv /data/opengwasdb/stores/OGS-00006/source /data/opengwasdb/stores/OGS-00006/store.opengwasdb --store-id OGS-00006 --release-id OGS-00006 --stored-effect-scale sd		1400					passed_with_warnings	Chen Y	36635386	plasma	metabolomics	EUR	3441-8299	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/
OGS-00007	2018-sun-pilot-10	ragged	observed_only	built		/data/opengwasdb/stores/OGS-00007/store.opengwasdb	2026-08-17T14:32:13Z	6ef919e721d5b7368acad591264be50f79b77dfb	Rscript resources/generators/lib/source-formats/gwas-ssf-ragged/generate.R --config=resources/generators/pqtl-interval-2018/config-pilot-10.yaml --mode=emit	opengwasdb build-ragged-ssf /data/opengwasdb/stores/OGS-00007/work/analyses.tsv /data/opengwasdb/stores/OGS-00007/source /data/opengwasdb/stores/OGS-00007/store.opengwasdb --store-id OGS-00007 --release-id OGS-00007 --stored-effect-scale sd		10					passed	Sun BB	29875488	plasma	SomaScan	EUR	3301	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/
OGS-00008	ukb-b-pilot-10	dense	observed_only	candidate		/data/opengwasdb/stores/OGS-00008/store.opengwasdb	2026-09-18T16:00:00Z		Rscript resources/generators/ukb-b/generate.R --config=resources/generators/ukb-b/config-pilot-10.yaml --mode=emit	opengwasdb build-dense-vcf /data/opengwasdb/stores/OGS-00008/work/analyses.tsv /data/opengwasdb/stores/OGS-00008/store.opengwasdb --store-id OGS-00008 --release-id OGS-00008 --source-reader-capability opengwasdb.gwas-vcf --source-assembly hg19 --n-workers 10		10						Ben Elsworth	NA	NA	NA	EUR	352094-462933	NA
OGS-00009	ukb-b-full-observed	dense	observed_only	candidate		/data/opengwasdb/stores/OGS-00009/store.opengwasdb	2026-09-18T16:00:00Z		Rscript resources/generators/ukb-b/generate.R --config=resources/generators/ukb-b/config.yaml --mode=emit	opengwasdb build-dense-vcf /data/opengwasdb/stores/OGS-00009/work/analyses.tsv /data/opengwasdb/stores/OGS-00009/store.opengwasdb --store-id OGS-00009 --release-id OGS-00009 --source-reader-capability opengwasdb.gwas-vcf --source-assembly hg19 --n-workers 32		2024						Ben Elsworth	NA	NA	NA	EUR	10339-463010	NA
OGS-00010	ukb-b-full-completed	dense	reference_completed	candidate	OGS-00009	/data/opengwasdb/stores/OGS-00010/store.opengwasdb	2026-09-18T16:00:00Z		opengwasdb complete-dense /data/opengwasdb/stores/OGS-00009/store.opengwasdb /data/opengwasdb/stores/OGS-00010/store.opengwasdb --release-id OGS-00010 --ld-panel /data/opengwasdb/reference/hgdp1kgp-hg38/panel --ancestry EUR	opengwasdb complete-dense /data/opengwasdb/stores/OGS-00009/store.opengwasdb /data/opengwasdb/stores/OGS-00010/store.opengwasdb --release-id OGS-00010 --ld-panel /data/opengwasdb/reference/hgdp1kgp-hg38/panel --ancestry EUR		2024						Ben Elsworth	NA	NA	NA	EUR	10339-463010	NA
