analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
finngen-r13-BMI_IRN	BMI_IRN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9819565339065331	0.9639130678130663	0.019131613057583426	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.0180434660934668	0.9819565339065331	0.0	0.0	0.0
finngen-r13-HEIGHT_IRN	HEIGHT_IRN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.981971543961316	0.9639430879226318	0.019135211386811363	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01802845603868415	0.981971543961316	0.0	0.0	0.0
finngen-r13-WEIGHT_IRN	WEIGHT_IRN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9819058994709194	0.963811798941839	0.019140347334603795	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.018094100529080497	0.9819058994709194	0.0	0.0	0.0
finngen-r13-RX_PARACETAMOL_NSAID	RX_PARACETAMOL_NSAID	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-K11_ORAL	K11_ORAL	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-FG_CVD	FG_CVD	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-PAIN	PAIN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817317691826658	0.9634635383653318	0.019202468824540214	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.018268230817333947	0.9817317691826658	0.0	0.0	0.0
finngen-r13-AB1_INFECT_PARASIT_WIDE	AB1_INFECT_PARASIT_WIDE	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-RX_STATIN	RX_STATIN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-M13_ARTHROPATHIES	M13_ARTHROPATHIES	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-PULM_INFECTIONS	PULM_INFECTIONS	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-N14_FEMALEGENNONINF	N14_FEMALEGENNONINF	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9816818671223335	0.963363734244667	0.019259769928101238	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.018318132877666437	0.9816818671223335	0.0	0.0	0.0
finngen-r13-ANTIDEPRESSANTS	ANTIDEPRESSANTS	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9815535194912379	0.9631070389824758	0.01926234871860545	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.018446480508762055	0.9815535194912379	0.0	0.0	0.0
finngen-r13-O15_DELIV_SPONT	O15_DELIV_SPONT	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.981730229448248	0.9634604588964958	0.019251356816873073	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826977055175216	0.981730229448248	0.0	0.0	0.0
finngen-r13-KRA_PSY_ANYMENTAL	KRA_PSY_ANYMENTAL	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-CD2_BENIGN	CD2_BENIGN	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-G6_EPIPAROX	G6_EPIPAROX	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-AUTOIMMUNE	AUTOIMMUNE	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-J10_UPPERDIS	J10_UPPERDIS	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
finngen-r13-C3_CANCER_WIDE	C3_CANCER_WIDE	Finnish	EUR	af_assigned	hgdp1kgp-ancestry-mixture-hg38	18277	EUR	0.9817390290245673	0.9634780580491347	0.01920314787840767	ok		one-pass opengwasdb.finngen-r13 AF/SE extraction	0.0	0.0	0.01826097097543267	0.9817390290245673	0.0	0.0	0.0
