analysis_id	status	error	source_url	output_file	output_bytes	checksum_algorithm	checksum	download_seconds
GCST002047	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST002047.h.tsv.gz	42669114	sha256	c76074e776502e20f373569d33b8780ecefdd27847d5500881be8d24edbf81f6	1.1
GCST003368	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003368/harmonised/GCST003368.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST003368.h.tsv.gz	50120441	sha256	5f7a22eb8aaf03257ea15606b8d808d7b67c072e10fca40012a339ace32179ec	0.3
GCST003898	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003898/harmonised/GCST003898.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST003898.h.tsv.gz	28298128	sha256	67df8cb7f271ed5cada0faa623c26e81a512de9361de8f86781f04c07b8fe8dc	0.7
GCST004162	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004162/harmonised/GCST004162.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST004162.h.tsv.gz	401669031	sha256	6c5368cf416d900b8aed6cde66d6cb50ab0baeb3b05039a7b2d7bc334a40c0c5	3.4
GCST004422	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004422/harmonised/GCST004422.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST004422.h.tsv.gz	174187461	sha256	bb2004c544aed56d2299bb5313ba57d3d9e30ad3291e2c2eb154007d75afb04f	2.7
GCST007406	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007406/harmonised/GCST007406.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST007406.h.tsv.gz	310825400	sha256	3a46a7a5ad1b09e101fc90221f400b7e97a81a0f450f718cbe9b76b4bf57b623	2.1
GCST007436	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007436/harmonised/GCST007436.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST007436.h.tsv.gz	224420246	sha256	1f3e5db733e515783fe57eb3883bda4a60f0943667d13a5502be3bb64d57fc09	2.4
GCST008396	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008396/harmonised/GCST008396.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST008396.h.tsv.gz	40976700	sha256	53092a170b5599e98e119b41d99b3b7908c54012597f7a5b0c4612ba04097e7e	0.7
GCST009236	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009236/harmonised/GCST009236.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST009236.h.tsv.gz	128427307	sha256	0b2b94571a12b237f1dc4e9f40fdbd5a2567142b84391e85de6b4c22b9aa8b7c	1.1
GCST009237	ok	""	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009237/harmonised/GCST009237.h.tsv.gz	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-quant-pilot-10/download/GCST009237.h.tsv.gz	128414748	sha256	b138a9173f4c9930964e4ce25c011fb761ae95db3ded5a0601b560d0f78a63aa	1.5
