analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90199621	GCST90199621	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199621_GCST90199621.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/harmonised/GCST90199621.h.tsv.gz		GCST90199621_GCST90199621.filtered.tsv.gz	f9d7ca2a71131cb3d50b6b0c30ff99816c43ef66bb0b7ce6b419d0bdc951398a	sha256	1976518	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984008520611909	estimated_from_source_maf	sd	total	analysis_level	8192	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
1	GCST90199622	GCST90199622	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199622_GCST90199622.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/harmonised/GCST90199622.h.tsv.gz		GCST90199622_GCST90199622.filtered.tsv.gz	89249bcafc37756d330e1eae3ae1a2929cca77860a360c011c4be00780f035af	sha256	1021894	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.990642661803338	estimated_from_source_maf	sd	total	analysis_level	7306	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
2	GCST90199623	GCST90199623	Maltotriose levels	Maltotriose levels	maltotriose measurement	EFO:0800142	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199623_GCST90199623.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/harmonised/GCST90199623.h.tsv.gz		GCST90199623_GCST90199623.filtered.tsv.gz	9911230b5c6824aba4c0e7083ad35babfa1425190d3099d850f4bf598d5fb3ca	sha256	483934	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00085681083083	estimated_from_source_maf	sd	total	analysis_level	4641	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
3	GCST90199624	GCST90199624	Hippurate levels	Hippurate levels	hippurate measurement	EFO:0010992	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199624_GCST90199624.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/harmonised/GCST90199624.h.tsv.gz		GCST90199624_GCST90199624.filtered.tsv.gz	95031f90cb4973729c98dea6e623ed6549757ef1f1e4a5a2055e064024a22e92	sha256	232441	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.988960781282691	estimated_from_source_maf	sd	total	analysis_level	8260	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
4	GCST90199625	GCST90199625	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	EFO:0021650	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199625_GCST90199625.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/harmonised/GCST90199625.h.tsv.gz		GCST90199625_GCST90199625.filtered.tsv.gz	17949c4b9442224a49234b3b24c093da1bff0b5d392e6ff3751846465da4d134	sha256	233506	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997649955763056	estimated_from_source_maf	sd	total	analysis_level	8243	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
5	GCST90199626	GCST90199626	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	EFO:0010551	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199626_GCST90199626.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/harmonised/GCST90199626.h.tsv.gz		GCST90199626_GCST90199626.filtered.tsv.gz	5eefdf98ff15582ce4363a63867ae44969a37b3c419c47cfe21badd9f7433a8a	sha256	1490977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.982046930442918	estimated_from_source_maf	sd	total	analysis_level	7965	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
6	GCST90199627	GCST90199627	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	EFO:0800006	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199627_GCST90199627.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/harmonised/GCST90199627.h.tsv.gz		GCST90199627_GCST90199627.filtered.tsv.gz	6f89a73d8b2f84cbe5e06c0f00364e186ad2c557912089a54eb56e4f31bb2c82	sha256	494617	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.979909665432849	estimated_from_source_maf	sd	total	analysis_level	5606	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
7	GCST90199628	GCST90199628	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	EFO:0021004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199628_GCST90199628.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/harmonised/GCST90199628.h.tsv.gz		GCST90199628_GCST90199628.filtered.tsv.gz	7269da413a960e2de1617868c2a9ab366208b33771ea050ad7d4339a721331b0	sha256	232977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.992438797371119	estimated_from_source_maf	sd	total	analysis_level	8289	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
8	GCST90199629	GCST90199629	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	EFO:0020018	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199629_GCST90199629.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/harmonised/GCST90199629.h.tsv.gz		GCST90199629_GCST90199629.filtered.tsv.gz	de5ffd064809833364e89175c053c4918613a4fecbf619df4533f6a66cfae5d5	sha256	512588	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.983098006783259	estimated_from_source_maf	sd	total	analysis_level	8212	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
9	GCST90199630	GCST90199630	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	EFO:0021012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199630_GCST90199630.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/harmonised/GCST90199630.h.tsv.gz		GCST90199630_GCST90199630.filtered.tsv.gz	f8401074c4daeb9527dd1ccd05cf469cfa57c5877a66f5210b2eaf42954f322e	sha256	473411	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.972089742941211	estimated_from_source_maf	sd	total	analysis_level	7059	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
