analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS	source_assigned_mismatch	ancestry_notes
GCST90199621	GCST90199621	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	29578	EUR	1	1	0.00994139	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=29578 residual=0.0099
GCST90199622	GCST90199622	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	18071	EUR	1	1	0.0111422	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=18071 residual=0.0111
GCST90199623	GCST90199623	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	11555	EUR	0.997219	0.99466	0.0094359	ok	0	0.0025591	0.000221806	0.997219	0	0	0	false	dominant=EUR proportion=0.997 margin=0.995 overlap=11555 residual=0.0094
GCST90199624	GCST90199624	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	8066	EUR	1	1	0.00951851	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=8066 residual=0.0095
GCST90199625	GCST90199625	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	8067	EUR	1	1	0.00952311	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=8067 residual=0.0095
GCST90199626	GCST90199626	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	25155	EUR	1	1	0.00869205	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=25155 residual=0.0087
GCST90199627	GCST90199627	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	10625	EUR	0.994698	0.990091	0.00998463	ok	0.000695231	0	0	0.994698	0.0046071	0	0	false	dominant=EUR proportion=0.995 margin=0.990 overlap=10625 residual=0.0100
GCST90199628	GCST90199628	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	8070	EUR	1	1	0.00951592	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=8070 residual=0.0095
GCST90199629	GCST90199629	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	11263	EUR	1	1	0.00869846	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=11263 residual=0.0087
GCST90199630	GCST90199630	European	EUR	af_assigned	ukb-ancestry-mixture-hg38	11176	EUR	1	1	0.00857874	ok	0	0	0	1	0	0	0	false	dominant=EUR proportion=1.000 margin=1.000 overlap=11176 residual=0.0086
