analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90199621	GCST90199621	passed	""	source	""	0.984008520611909	estimated_from_source_maf	77822	77822	0	0	0	33050	44772	0.01	0.5	0.984008520611909	0.00713929932382079	median implied SD=0.984, dispersion=0.007, n=44772	effect_scale_validation.R:v1
GCST90199622	GCST90199622	passed	""	source	""	0.990642661803338	estimated_from_source_maf	39678	39678	0	0	0	14708	24970	0.01	0.5	0.990642661803338	0.00772697999670598	median implied SD=0.991, dispersion=0.008, n=24970	effect_scale_validation.R:v1
GCST90199623	GCST90199623	passed	""	source	""	1.00085681083083	estimated_from_source_maf	18098	18098	0	0	0	4163	13935	0.01	0.5	1.00085681083083	0.00974015479611268	median implied SD=1.001, dispersion=0.010, n=13935	effect_scale_validation.R:v1
GCST90199624	GCST90199624	passed	""	source	""	0.988960781282691	estimated_from_source_maf	8128	8128	0	0	0	47	8081	0.01	0.5	0.988960781282691	0.00851069457947165	median implied SD=0.989, dispersion=0.009, n=8081	effect_scale_validation.R:v1
GCST90199625	GCST90199625	passed	""	source	""	0.997649955763056	estimated_from_source_maf	8157	8157	0	0	0	65	8092	0.01	0.5	0.997649955763056	0.00847174028711615	median implied SD=0.998, dispersion=0.008, n=8092	effect_scale_validation.R:v1
GCST90199626	GCST90199626	passed	""	source	""	0.982046930442918	estimated_from_source_maf	58506	58506	0	0	0	21857	36649	0.01	0.5	0.982046930442918	0.00750333602979882	median implied SD=0.982, dispersion=0.008, n=36649	effect_scale_validation.R:v1
GCST90199627	GCST90199627	passed	""	source	""	0.979909665432849	estimated_from_source_maf	18400	18400	0	0	0	5484	12916	0.01	0.5	0.979909665432849	0.00938127877372108	median implied SD=0.980, dispersion=0.009, n=12916	effect_scale_validation.R:v1
GCST90199628	GCST90199628	passed	""	source	""	0.992438797371119	estimated_from_source_maf	8142	8142	0	0	0	53	8089	0.01	0.5	0.992438797371119	0.00846647245463959	median implied SD=0.992, dispersion=0.008, n=8089	effect_scale_validation.R:v1
GCST90199629	GCST90199629	passed	""	source	""	0.983098006783259	estimated_from_source_maf	19191	19191	0	0	0	5110	14081	0.01	0.5	0.983098006783259	0.00776523899076455	median implied SD=0.983, dispersion=0.008, n=14081	effect_scale_validation.R:v1
GCST90199630	GCST90199630	passed	""	source	""	0.972089742941211	estimated_from_source_maf	17548	17548	0	0	0	4487	13061	0.01	0.5	0.972089742941211	0.00836513970819111	median implied SD=0.972, dispersion=0.008, n=13061	effect_scale_validation.R:v1
