analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
0	ukb-b-13414	ukb-b-13414	Diagnoses - main ICD10: O02.1 Missed abortion	Diagnoses - main ICD10: O02.1 Missed abortion			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13414.vcf.gz				63396333	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1317	461693	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1	ukb-b-13416	ukb-b-13416	6mm weak meridian (right)	6mm weak meridian (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13416.vcf.gz				270875349	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	84303			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
2	ukb-b-13417	ukb-b-13417	Treatment/medication code: isosorbide mononitrate	Treatment/medication code: isosorbide mononitrate			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13417.vcf.gz				74618622	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1520	461413	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
3	ukb-b-13423	ukb-b-13423	Breastfed as a baby	Breastfed as a baby			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13423.vcf.gz				294732813	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	352094	251150	100944	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
4	ukb-b-13425	ukb-b-13425	Operative procedures - secondary OPCS: V55.3 Greater than two levels of spine	Operative procedures - secondary OPCS: V55.3 Greater than two levels of spine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13425.vcf.gz				48398387	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1106	461904	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
5	ukb-b-13426	ukb-b-13426	Treatment/medication code: irbesartan	Treatment/medication code: irbesartan			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13426.vcf.gz				124534816	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3273	459660	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
6	ukb-b-1343	ukb-b-1343	PCT where patients GP was registered: GEDLING PCT	PCT where patients GP was registered: GEDLING PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1343.vcf.gz				79881398	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1629	461381	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
7	ukb-b-13435	ukb-b-13435	Operation code: maxillo-facial surgery	Operation code: maxillo-facial surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13435.vcf.gz				127578377	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3459	459474	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
8	ukb-b-13447	ukb-b-13447	Non-cancer illness code, self-reported: chronic obstructive airways disease/copd	Non-cancer illness code, self-reported: chronic obstructive airways disease/copd			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13447.vcf.gz				78751818	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1605	461328	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
9	ukb-b-13458	ukb-b-13458	PCT where patients GP was registered: BRADFORD AND AIREDALE TEACHING PCT	PCT where patients GP was registered: BRADFORD AND AIREDALE TEACHING PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13458.vcf.gz				122668206	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3165	459845	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
