analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
0	GCST000028	GCST000028	Type 2 diabetes	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000028/harmonised/17463246-GCST000028-EFO_0001360.h.tsv.gz		17463246-GCST000028-EFO_0001360.h.tsv.gz	fd59856729eb312cb047ea5ef9c79ae9799a791159e6b95576bd3afc8843dfc1	sha256	35279386	GRCh38	EBI GWAS Catalog terms of use		17463246		Saxena R	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	2931	1464	1467		excluded: ancestry_unassigned: gate_reason=overlap	true
1	GCST000392	GCST000392	Type 1 diabetes	Type 1 diabetes	type 1 diabetes mellitus	MONDO:0005147	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz		19430480-GCST000392-EFO_0001359.h.tsv.gz	b82d260ad48db8e4c67ab10e51d623ff8d6b6c9432946a5674e4f5b8b73a6a6b	sha256	15269443	GRCh38	EBI GWAS Catalog terms of use		19430480		Barrett JC	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	16559	7514	9045		excluded: ancestry_unassigned: gate_reason=overlap	true
2	GCST000553	GCST000553	CD4:CD8 lymphocyte ratio	CD4:CD8 lymphocyte ratio	CD4:CD8 lymphocyte ratio	http://www.ebi.ac.uk/efo/EFO_0004839	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000553/harmonised/20045101-GCST000553-EFO_0004839.h.tsv.gz		20045101-GCST000553-EFO_0004839.h.tsv.gz	b2e04186f6a430d00246c0c17b2aa16c212a5b4cfe0410a0a22a6c709a8e142a	sha256	29852313	GRCh38	EBI GWAS Catalog terms of use		20045101		Ferreira MA	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2538				excluded: ancestry_unassigned: gate_reason=overlap	true
3	GCST000568	GCST000568	Fasting blood glucose	Fasting blood glucose	blood glucose amount	OBA:VT0000188	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz		20081858-GCST000568-EFO_0004465.h.tsv.gz	a52187e486e7a40fc2b75a29a30a787e6c5593a50390e481ddbe7978bf049594	sha256	83236986	GRCh38	EBI GWAS Catalog terms of use		20081858		Dupuis J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	46186				excluded: ancestry_unassigned: gate_reason=residual	true
4	GCST000571	GCST000571	Fasting blood insulin	Fasting blood insulin	blood insulin amount	OBA:VT0001560	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz		20081858-GCST000571-EFO_0004466.h.tsv.gz	0d658e78f9cd6a56ffd910c8946e681afb6dd400cca59702b01950d586086c99	sha256	81244492	GRCh38	EBI GWAS Catalog terms of use		20081858		Dupuis J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	38238				excluded: ancestry_unassigned: gate_reason=residual	true
5	GCST000612	GCST000612	Celiac disease	Celiac disease	celiac disease	MONDO:0005130	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz		20190752-GCST000612-EFO_0001060.h.tsv.gz	d6f6a3656b6f0d86045f5115f31b1020ddcf05dec34545d1034b9c4c4929441c	sha256	40403376	GRCh38	EBI GWAS Catalog terms of use		20190752		Dubois PC	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	15283	4533	10750		excluded: ancestry_unassigned: gate_reason=overlap	true
6	GCST000679	GCST000679	Rheumatoid arthritis	Rheumatoid arthritis	rheumatoid arthritis	MONDO:0008383	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000679/harmonised/20453842-GCST000679-EFO_0000685.h.tsv.gz		20453842-GCST000679-EFO_0000685.h.tsv.gz	7a37ee21cf73c9ed1fbf474041879a2e7cf15230eddffa840bfb45707acdbf32	sha256	154840082	GRCh38	EBI GWAS Catalog terms of use		20453842		Stahl EA	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	25708	5539	20169		excluded: ancestry_unassigned: gate_reason=overlap	true
7	GCST000755	GCST000755	HDL cholesterol	HDL cholesterol	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz		20686565-GCST000755-EFO_0004612.h.tsv.gz	84ce5bc37a7d8b887a6938633b7a233b653b845bf7b5d9c3accb88983660c9a7	sha256	78882663	GRCh38	EBI GWAS Catalog terms of use		20686565		Teslovich TM	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	99900				excluded: ancestry_unassigned: gate_reason=overlap	true
8	GCST000758	GCST000758	Triglycerides	Triglycerides	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz		20686565-GCST000758-EFO_0004530.h.tsv.gz	d71b8af7959233bdbe2e7f9f3788e6f89b201e2e6c7ac2f7e1d06dce4693a40f	sha256	78835888	GRCh38	EBI GWAS Catalog terms of use		20686565		Teslovich TM	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	96598				excluded: ancestry_unassigned: gate_reason=overlap	true
9	GCST000759	GCST000759	LDL cholesterol	LDL cholesterol	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz		20686565-GCST000759-EFO_0004611.h.tsv.gz	61f18d2d1a92be31d15f568d4e95c3e50799935ada76a8fdec5280ecc217c3dc	sha256	79077365	GRCh38	EBI GWAS Catalog terms of use		20686565		Teslovich TM	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	95454				excluded: ancestry_unassigned: gate_reason=overlap	true
