analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST000028	GCST000028	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000392	GCST000392	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000553	GCST000553	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000568	GCST000568	European		unassigned	ref_freqs.hg38.tsv.gz	50000	AFR	0.398537	0.139624	0.395071	residual	passed	0.100441			0.398537	0.00758546	0.16522	0.169745	0	0	0.258913
GCST000571	GCST000571	European		unassigned	ref_freqs.hg38.tsv.gz	50000	AFR	0.398973	0.14047	0.394574	residual	passed	0.100605			0.398973	0.0073671	0.163674	0.171482	0	0	0.258504
GCST000612	GCST000612	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000679	GCST000679	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000755	GCST000755	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000758	GCST000758	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000759	GCST000759	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000760	GCST000760	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000879	GCST000879	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST000922	GCST000922	European		unassigned	ref_freqs.hg38.tsv.gz	50000	AFR	0.450588	0.196232	0.37022	residual	passed	0.0832503			0.450588	0.129182	0.0584788	0.105694	0.00170214	0	0.254355
GCST000998	GCST000998	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.962706	0.948862	0.0227555	ok	passed	0.971182	false		0.0138442	0.0138388	0.00204115	0.962706	0	0	0.00756952
GCST001198	GCST001198	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001212	GCST001212	European		unassigned	ref_freqs.hg38.tsv.gz	50000	AFR	0.39999	0.14197	0.395111	residual	passed	0.100768			0.39999	0.00779527	0.163943	0.170252	0	0	0.25802
GCST001255	GCST001255	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001475	GCST001475	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001592	GCST001592	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001790	GCST001790	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001791	GCST001791	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST001837	GCST001837	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.039043	ok	passed	0.958189	false		0	0	0	1	0	0	0
GCST001969	GCST001969	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.918164	0.858265	0.0170429	ok	passed	0.980292	false		0	0.00502357	0.00600398	0.918164	0.0109097	0	0.0598987
