analysis_id	source_analysis_id	study_design	category	reason	detail	resolver_status	exclude_from_build
GCST000028	GCST000028	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000392	GCST000392	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000553	GCST000553	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000568	GCST000568	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST000571	GCST000571	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST000612	GCST000612	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000679	GCST000679	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000755	GCST000755	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000758	GCST000758	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000759	GCST000759	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000760	GCST000760	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000879	GCST000879	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST000922	GCST000922	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST001198	GCST001198	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST001212	GCST001212	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST001255	GCST001255	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST001475	GCST001475	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST001592	GCST001592	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST001790	GCST001790	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST001791	GCST001791	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002216	GCST002216	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002221	GCST002221	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002222	GCST002222	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002223	GCST002223	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002245	GCST002245	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002318	GCST002318	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002548	GCST002548	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002598	GCST002598	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002783	GCST002783	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST002920	GCST002920	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003129	GCST003129	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003143	GCST003143	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003156	GCST003156	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003219	GCST003219	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003367	GCST003367	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003368	GCST003368	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003371	GCST003371	quantitative	ancestry	ancestry_not_eur	assigned_ancestry=AFR (release target EUR)	success	true
GCST003484	GCST003484	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003496	GCST003496	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003497	GCST003497	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003498	GCST003498	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003499	GCST003499	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003566	GCST003566	case-control	orientation	orientation_failure	eaf_orientation=failed gate_reason=eaf_orientation r=-0.9751856274245814	success	true
GCST003658	GCST003658	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003659	GCST003659	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003738	GCST003738	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003739	GCST003739	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003740	GCST003740	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003766	GCST003766	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003769	GCST003769	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003770	GCST003770	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003795	GCST003795	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003814	GCST003814	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003898	GCST003898	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST003900	GCST003900	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003965	GCST003965	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003966	GCST003966	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003967	GCST003967	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003968	GCST003968	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003969	GCST003969	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003970	GCST003970	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003971	GCST003971	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003972	GCST003972	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST003973	GCST003973	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004074	GCST004074	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004075	GCST004075	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004076	GCST004076	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004137	GCST004137	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004158	GCST004158	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004198	GCST004198	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004292	GCST004292	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004293	GCST004293	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004296	GCST004296	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004364	GCST004364	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.12018047073299706	success	true
GCST004420	GCST004420	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004421	GCST004421	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004422	GCST004422	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004423	GCST004423	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004424	GCST004424	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004425	GCST004425	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004426	GCST004426	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004427	GCST004427	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004428	GCST004428	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004429	GCST004429	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004430	GCST004430	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004431	GCST004431	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004432	GCST004432	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004433	GCST004433	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004434	GCST004434	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004435	GCST004435	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004436	GCST004436	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004437	GCST004437	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004438	GCST004438	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004439	GCST004439	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004440	GCST004440	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004441	GCST004441	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004442	GCST004442	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004443	GCST004443	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004444	GCST004444	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004445	GCST004445	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004446	GCST004446	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004447	GCST004447	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004448	GCST004448	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004449	GCST004449	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004450	GCST004450	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004451	GCST004451	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004452	GCST004452	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004453	GCST004453	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004454	GCST004454	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004455	GCST004455	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004456	GCST004456	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004457	GCST004457	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004458	GCST004458	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
