analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	estimator_version	sd_notes
GCST000028	GCST000028	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST000392	GCST000392	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST000553	GCST000553	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST000568	GCST000568	passed		source		0.562256	estimated_from_source_maf	2470158						19975	0.01	0.5	0.562256	0.0265592	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST000571	GCST000571	passed		source		0.53534	estimated_from_source_maf	2460790						19975	0.01	0.5	0.53534	0.0255055	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST000612	GCST000612	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST000679	GCST000679	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST000755	GCST000755	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST000758	GCST000758	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST000759	GCST000759	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST000760	GCST000760	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST000879	GCST000879	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST000922	GCST000922	passed		source		6.58451	estimated_from_source_maf	2305586						20000	0.01	0.5	6.58451	0.272012	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST000998	GCST000998	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001198	GCST001198	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001212	GCST001212	passed		source		0.519828	estimated_from_source_maf	2495696						19957	0.01	0.5	0.519828	0.0244092	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST001255	GCST001255	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001475	GCST001475	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001592	GCST001592	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001790	GCST001790	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST001791	GCST001791	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST001837	GCST001837	passed		source		1.00954	estimated_from_source_maf	1380139						19998	0.01	0.5	1.00954	0.0318119	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST001969	GCST001969	passed		source		11.2117	estimated_from_source_maf	2516720						20000	0.01	0.5	11.2117	0.347305	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST002047	GCST002047	passed		source		2.42903	estimated_from_source_maf	2314363						20000	0.01	0.5	2.42903	0.104668	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST002216	GCST002216	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002221	GCST002221	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002222	GCST002222	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002223	GCST002223	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002245	GCST002245	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST002318	GCST002318	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST002376	GCST002376	passed		source		1.02683	estimated_from_source_maf	2605037						20000	0.01	0.5	1.02683	0.0204413	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST002548	GCST002548	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST002598	GCST002598	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002783	GCST002783	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST002920	GCST002920	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003043	GCST003043	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003044	GCST003044	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003045	GCST003045	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003116	GCST003116	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003129	GCST003129	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003143	GCST003143	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003156	GCST003156	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003219	GCST003219	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003367	GCST003367	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003368	GCST003368	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003371	GCST003371	passed		source		0.946145	estimated_from_source_maf	2446129						19817	0.01	0.5	0.946145	0.0678733	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003372	GCST003372	passed		source		0.230491	estimated_from_source_maf	2191251						19994	0.01	0.5	0.230491	0.00803017	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003373	GCST003373	passed		source		0.271861	estimated_from_source_maf	2190070						19994	0.01	0.5	0.271861	0.00962945	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003374	GCST003374	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003375	GCST003375	passed		source		0.239901	estimated_from_source_maf	2190612						19995	0.01	0.5	0.239901	0.0109961	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003378	GCST003378	passed		source		2.40042	estimated_from_source_maf	7481549						20000	0.01	0.5	2.40042	0.063494	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003392	GCST003392	passed		source		0.823487	estimated_from_source_maf	9536338						20000	0.01	0.5	0.823487	0.006627	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003394	GCST003394	passed		source		1.14548	estimated_from_source_maf	9536338						20000	0.01	0.5	1.14548	0.00988847	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003395	GCST003395	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003401	GCST003401	passed		source		0.22069	estimated_from_source_maf	2191332						19994	0.01	0.5	0.22069	0.00848019	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003435	GCST003435	passed		source		1.14193	estimated_from_source_maf	3228574						20000	0.01	0.5	1.14193	0.0795917	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003484	GCST003484	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003496	GCST003496	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003497	GCST003497	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003498	GCST003498	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003499	GCST003499	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003566	GCST003566	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
