seqid	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	somascan_is_multiple	menu_v4_0	menu_v4_1	menu_v5_0	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
10000-28	Beta-crystallin B2	1415	ENSG00000244752	CRYBB2	22	25212564	25231870	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10001-7	RAF proto-oncogene serine/threonine-protein kinase	5894	ENSG00000132155	RAF1	3	12582101	12664201	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10003-15	Zinc finger protein 41	7592	ENSG00000147124	ZNF41	X	47444693	47483247	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10006-25	ETS domain-containing protein Elk-1	2002	ENSG00000126767	ELK1	X	47631617	47650604	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10008-43	Guanylyl cyclase-activating protein 1	2978	ENSG00000048545	GUCA1A	6	42173364	42181338	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10010-10	Beclin-1	8678	ENSG00000126581	BECN1	17	42809108	42833350	-1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10011-65	Inositol polyphosphate 5-phosphatase OCRL-1	4952	ENSG00000122126	OCRL	X	129539849	129592772	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10012-5	SAM pointed domain-containing Ets transcription factor	25803	ENSG00000124664	SPDEF	6	34537796	34556358	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10014-31	Zinc finger protein SNAI2	6591	ENSG00000019549	SNAI2	8	48917284	48921740	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10015-119	Voltage-gated potassium channel subunit beta-2	8514	ENSG00000069424	KCNAB2	1	5990927	6101193	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10022-207	DNA polymerase eta	5429	ENSG00000170734	POLH	6	43575537	43628361	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10023-32	Vitamin D3 receptor	7421	ENSG00000111424	VDR	12	47841537	47943048	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10024-44	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	112817	ENSG00000241935	HOGA1	10	97584323	97613829	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10025-1	Dihydrolipoyl dehydrogenase, mitochondrial	1738	ENSG00000091140	DLD	7	107891136	107931730	1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10030-8	Adenine DNA glycosylase	4595	ENSG00000132781	MUTYH	1	45329163	45340893	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10035-6	Dual specificity protein phosphatase 4	1846	ENSG00000120875	DUSP4	8	29333064	29350728	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10036-201	Zinc fingers and homeoboxes protein 3	23051	ENSG00000174306	ZHX3	20	41178448	41317783	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10037-98	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	89858	ENSG00000254521	SIGLEC12	19	51491227	51501800	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10039-32	Purine nucleoside phosphorylase	4860	ENSG00000291814	PNP	HG2526_HG2573_PATCH	664673	679775	1	protein_coding	GRCh38	FALSE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10039-32	Purine nucleoside phosphorylase	4860	ENSG00000198805	PNP	14	20461992	20477094	1	protein_coding	GRCh38	TRUE	FALSE	0	0	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10040-63	Tumor protein 63	8626	ENSG00000073282	TP63	3	189631252	189897276	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10041-3	Hepatocyte nuclear factor 4-alpha	3172	ENSG00000101076	HNF4A	20	44355439	44432845	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10042-8	Serine/threonine-protein kinase Sgk3	23678	ENSG00000104205	SGK3	8	66712484	66862022	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10043-31	Bromodomain-containing protein 4	23476	ENSG00000141867	BRD4	19	15235519	15332547	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10044-12	Protein Wnt-10a	80326	ENSG00000135925	WNT10A	2	218880852	218899581	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10045-47	Cullin-3	8452	ENSG00000036257	CUL3	2	224470150	224585525	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10046-55	Baculoviral IAP repeat-containing protein 2	329	ENSG00000110330	BIRC2	11	102347208	102378680	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10047-12	Neutrophil cytosol factor 2	4688	ENSG00000116701	NCF2	1	183554461	183593499	-1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10047-7	Neutrophil cytosol factor 2	4688	ENSG00000116701	NCF2	1	183554461	183593499	-1	protein_coding	GRCh38	TRUE	FALSE	0	0	0	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
10048-7	Core-binding factor subunit beta	865	ENSG00000067955	CBFB	16	67028984	67101058	1	protein_coding	GRCh38	TRUE	FALSE	0	1	1	1	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
