analysis_id	region_id	region_kind	chromosome	start	end	source_genome_build	target_id	target_label	lead_variant_id	pvalue_threshold	n_variants_retained	region_policy_id
GCST005806	GCST005806__cis__001	cis	2	171555373	173628598	GRCh38	ENSG00000152256	PDK1	""	""	8419	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__sig_trans__001	significant_trans	17	27048441	29470397	GRCh38	""	""	""	5e-08	6445	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__001	suggestive_trans	2	21360391	21360391	GRCh38	""	""	rs113066376	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__002	suggestive_trans	2	27434814	27434814	GRCh38	""	""	rs77005271	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__003	suggestive_trans	2	47058475	47058475	GRCh38	""	""	rs147955564	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__004	suggestive_trans	2	114903581	114903581	GRCh38	""	""	rs72832456	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__005	suggestive_trans	3	83105583	83105583	GRCh38	""	""	rs192329677	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__006	suggestive_trans	3	153697598	153697598	GRCh38	""	""	rs61791052	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__007	suggestive_trans	4	120474532	120474532	GRCh38	""	""	rs6825381	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__008	suggestive_trans	4	168538163	168538163	GRCh38	""	""	rs28760293	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__009	suggestive_trans	5	114166020	114166020	GRCh38	""	""	rs149309237	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__010	suggestive_trans	7	21645609	21645609	GRCh38	""	""	rs73074141	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__011	suggestive_trans	8	90278138	90278138	GRCh38	""	""	rs62532283	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__012	suggestive_trans	8	98826303	98826303	GRCh38	""	""	rs3019294	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__013	suggestive_trans	8	122989351	122989351	GRCh38	""	""	rs570199795	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__014	suggestive_trans	9	126698845	126698845	GRCh38	""	""	rs10760451	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__015	suggestive_trans	10	57605065	57605065	GRCh38	""	""	rs534853948	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__016	suggestive_trans	10	57811219	57811219	GRCh38	""	""	rs149189745	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__017	suggestive_trans	10	60183661	60183661	GRCh38	""	""	rs7073556	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__018	suggestive_trans	10	77003208	77003208	GRCh38	""	""	rs11001965	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__019	suggestive_trans	10	90873804	90873804	GRCh38	""	""	rs7101168	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__020	suggestive_trans	10	129417880	129417880	GRCh38	""	""	rs180886103	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__021	suggestive_trans	11	2563673	2563673	GRCh38	""	""	rs7101739	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__022	suggestive_trans	11	56468526	56468526	GRCh38	""	""	rs753742868	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__023	suggestive_trans	11	56614490	56614490	GRCh38	""	""	rs770233149	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__024	suggestive_trans	11	122979108	122979108	GRCh38	""	""	rs7939002	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__025	suggestive_trans	12	32397293	32397293	GRCh38	""	""	rs541895842	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__026	suggestive_trans	13	38797141	38797141	GRCh38	""	""	rs35834663	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__027	suggestive_trans	16	26997210	26997210	GRCh38	""	""	rs8045204	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__028	suggestive_trans	16	78970304	78970304	GRCh38	""	""	rs184941935	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__029	suggestive_trans	16	79234920	79234920	GRCh38	""	""	rs146422614	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST005806	GCST005806__suggestive__030	suggestive_trans	18	3336149	3336149	GRCh38	""	""	rs7235146	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__cis__001	cis	17	49094737	51120276	GRCh38	ENSG00000005882	PDK2	""	""	6355	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__001	suggestive_trans	2	29998091	29998091	GRCh38	""	""	rs146972460	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__002	suggestive_trans	2	50084263	50084263	GRCh38	""	""	rs182786229	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__003	suggestive_trans	2	50442439	50442439	GRCh38	""	""	rs78407814	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__004	suggestive_trans	2	103903501	103903501	GRCh38	""	""	rs2582965	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__005	suggestive_trans	4	52875152	52875152	GRCh38	""	""	rs62336797	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__006	suggestive_trans	5	21577925	21577925	GRCh38	""	""	rs58266455	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__007	suggestive_trans	5	149430447	149430447	GRCh38	""	""	rs80026971	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__008	suggestive_trans	6	154505499	154505499	GRCh38	""	""	rs112561976	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__009	suggestive_trans	7	54990636	54990636	GRCh38	""	""	rs1558539	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__010	suggestive_trans	7	81103662	81103662	GRCh38	""	""	rs60552070	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__011	suggestive_trans	8	3006026	3006026	GRCh38	""	""	rs529272184	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__012	suggestive_trans	8	97287081	97287081	GRCh38	""	""	rs575434175	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__013	suggestive_trans	10	53781159	53781159	GRCh38	""	""	rs139863811	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__014	suggestive_trans	10	127135643	127135643	GRCh38	""	""	rs182798660	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__015	suggestive_trans	11	18506698	18506698	GRCh38	""	""	rs72871738	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__016	suggestive_trans	11	40545608	40545608	GRCh38	""	""	rs12294187	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__017	suggestive_trans	12	88596364	88596364	GRCh38	""	""	rs117166953	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__018	suggestive_trans	13	45050168	45050168	GRCh38	""	""	rs561275616	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__019	suggestive_trans	13	101852594	101852594	GRCh38	""	""	rs35035752	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__020	suggestive_trans	13	102529336	102529336	GRCh38	""	""	rs117679690	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__021	suggestive_trans	14	38555489	38555489	GRCh38	""	""	rs8018589	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__022	suggestive_trans	16	17803401	17803401	GRCh38	""	""	rs149393631	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__023	suggestive_trans	17	8686644	8686644	GRCh38	""	""	rs9906305	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__024	suggestive_trans	18	75225158	75225158	GRCh38	""	""	rs960551	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__025	suggestive_trans	19	27961958	27961958	GRCh38	""	""	rs8104722	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__026	suggestive_trans	19	53828417	53828417	GRCh38	""	""	rs11671984	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__027	suggestive_trans	21	32857422	32857422	GRCh38	""	""	rs149422088	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__028	suggestive_trans	21	33632391	33632391	GRCh38	""	""	rs117277407	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240120	GCST90240120__suggestive__029	suggestive_trans	21	42618253	42618253	GRCh38	""	""	rs73229520	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__cis__001	cis	20	40136931	42196801	GRCh38	ENSG00000124181	PLCG1	""	""	6997	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__sig_trans__001	significant_trans	19	52803045	54836078	GRCh38	""	""	""	5e-08	10625	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__001	suggestive_trans	1	1957917	1957917	GRCh38	""	""	rs36018191	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__002	suggestive_trans	1	200278377	200278377	GRCh38	""	""	rs181786093	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__003	suggestive_trans	1	227892894	227892894	GRCh38	""	""	rs147246401	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__004	suggestive_trans	2	62715240	62715240	GRCh38	""	""	rs367773655	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__005	suggestive_trans	2	191086295	191086295	GRCh38	""	""	rs111446773	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__006	suggestive_trans	3	30385099	30385099	GRCh38	""	""	rs116477971	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__007	suggestive_trans	3	134394654	134394654	GRCh38	""	""	rs534735024	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__008	suggestive_trans	4	77155113	77155113	GRCh38	""	""	rs72648517	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__009	suggestive_trans	5	40686897	40686897	GRCh38	""	""	rs45575639	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__010	suggestive_trans	5	40972109	40972109	GRCh38	""	""	rs74480769	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__011	suggestive_trans	5	94485630	94485630	GRCh38	""	""	rs146032759	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__012	suggestive_trans	5	102017168	102017168	GRCh38	""	""	rs557507238	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__013	suggestive_trans	5	166368365	166368365	GRCh38	""	""	rs115444259	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__014	suggestive_trans	6	1426513	1426513	GRCh38	""	""	rs1008883	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__015	suggestive_trans	6	27951557	27951557	GRCh38	""	""	rs193227599	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__016	suggestive_trans	6	28092955	28092955	GRCh38	""	""	rs535912464	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__017	suggestive_trans	6	28612963	28612963	GRCh38	""	""	rs189702750	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__018	suggestive_trans	6	119835059	119835059	GRCh38	""	""	rs140874735	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
